keyword,major_count,majors,major_groups,primary_cluster,primary_cluster_label,recommended_subject_groups,preferred_methods,preferred_outputs,preferred_report_modes,assessment_focus,topic_noun,recommended_evidence,route_confidence
분석 화학,1,화학과,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
분석능력,1,화학과,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
분자 간 상호작용,1,화학과,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
분자 궤도함수 이론,1,화학과,기타,core_principles,원리·구조,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 원리와 구조가 조건에 따라 어떻게 달라지는지 분석,원리와 구조,개념 비교표와 조건별 차이,medium
분자 동력학,1,금속공학,신소재·에너지·산업,other,기타·직접검토,과학 | 수학 | 정보,비교분석형 | 자료해석형 | 프로젝트형,탐구보고서 | 자료분석지 | 설계보고서,원리적용형 | 자료해석형 | 공학설계형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
분자 진동,1,화학과,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
분자구조,1,화학과,기타,core_principles,원리·구조,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 원리와 구조가 조건에 따라 어떻게 달라지는지 분석,원리와 구조,개념 비교표와 조건별 차이,medium
분자구조 모델링 프로젝트,1,화학과,기타,core_principles,원리·구조,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 원리와 구조가 조건에 따라 어떻게 달라지는지 분석,원리와 구조,개념 비교표와 조건별 차이,medium
분자모델링SW,1,약학과,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
분자생물,1,생명공학,생명·의료·생활,other,기타·직접검토,과학 | 사회 | 수학,실험실습형 | 자료해석형 | 조사탐구형,실험보고서 | 탐구보고서 | 자료분석지,실험분석형 | 자료해석형 | 연구보고서형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
분할,1,수학과,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
분할표,1,통계학과,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
불안장애,1,간호학과,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
불의 고리,1,지구과학과,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
붕대,1,응급구조학,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
뷰티이미지,1,뷰티아트,생명·의료·생활,other,기타·직접검토,과학 | 사회 | 수학,실험실습형 | 자료해석형 | 조사탐구형,실험보고서 | 탐구보고서 | 자료분석지,실험분석형 | 자료해석형 | 연구보고서형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
브레이크 마모 미세먼지,1,자동차공학,기계·모빌리티·건설,safety_environment,안전·환경·지속가능,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,위험·환경 지표를 기준으로 원인과 개선 효과를 검증,안전성과 지속가능성,위험도·환경성 지표,medium
브레이크 미세먼지 저감기술,1,자동차공학,기계·모빌리티·건설,safety_environment,안전·환경·지속가능,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,위험·환경 지표를 기준으로 원인과 개선 효과를 검증,안전성과 지속가능성,위험도·환경성 지표,medium
브리지 회로,1,전자공학,AI·SW·전자,core_principles,원리·구조,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,핵심 원리와 구조가 조건에 따라 어떻게 달라지는지 분석,원리와 구조,개념 비교표와 조건별 차이,medium
블랙-숄즈 모형,1,수학과,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
블로우 드라이,1,뷰티아트,생명·의료·생활,other,기타·직접검토,과학 | 사회 | 수학,실험실습형 | 자료해석형 | 조사탐구형,실험보고서 | 탐구보고서 | 자료분석지,실험분석형 | 자료해석형 | 연구보고서형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
블록체인,2,응용소프트웨어 | 정보통신공학,AI·SW·전자,data_ai_software,데이터·AI·소프트웨어,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,"데이터 입력, 처리 기준, 결과와 오차를 분석",데이터 처리와 결과,데이터 표·그래프·오류 사례,high
블루투스,1,정보통신공학,AI·SW·전자,other,기타·직접검토,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
비강캐뉼라,1,응급구조학,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
비건패션,1,의류의상학,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
비뇨기계통,1,물리치료,생명·의료·생활,other,기타·직접검토,과학 | 사회 | 수학,실험실습형 | 자료해석형 | 조사탐구형,실험보고서 | 탐구보고서 | 자료분석지,실험분석형 | 자료해석형 | 연구보고서형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
비닐하우스,1,농업학과,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
비렌딜 트러스 구조,1,토목공학,기계·모빌리티·건설,core_principles,원리·구조,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,핵심 원리와 구조가 조건에 따라 어떻게 달라지는지 분석,원리와 구조,개념 비교표와 조건별 차이,medium
비만,1,식품영양학,생명·의료·생활,other,기타·직접검토,과학 | 사회 | 수학,실험실습형 | 자료해석형 | 조사탐구형,실험보고서 | 탐구보고서 | 자료분석지,실험분석형 | 자료해석형 | 연구보고서형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
비모수 통계,1,통계학과,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
비브리오균,1,수산학과,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
비상대피소,1,응급구조학,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
비상탈출장치,1,응급구조학,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
비선형파도의 특성,1,해양공학,기계·모빌리티·건설,other,기타·직접검토,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
비오톱,2,건축설비 | 조경학과,기계·모빌리티·건설,other,기타·직접검토,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,medium
비잔틴 양식,1,건축학과,기계·모빌리티·건설,other,기타·직접검토,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
비정질 금속,1,신소재공학,신소재·에너지·산업,other,기타·직접검토,과학 | 수학 | 정보,비교분석형 | 자료해석형 | 프로젝트형,탐구보고서 | 자료분석지 | 설계보고서,원리적용형 | 자료해석형 | 공학설계형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
비정질 재료,1,금속공학,신소재·에너지·산업,materials_devices,소재·부품,과학 | 수학 | 정보,비교분석형 | 자료해석형 | 프로젝트형,탐구보고서 | 자료분석지 | 설계보고서,원리적용형 | 자료해석형 | 공학설계형,소재 또는 부품의 특성이 성능·안정성·효율에 미치는 영향 비교,소재 특성과 성능,물성·성능 비교표,medium
비정형 건축,1,건축학과,기계·모빌리티·건설,space_architecture_landscape,공간·건축·도시·조경,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,공간 구조와 사용자·환경 조건이 기능과 경험에 미치는 영향 평가,공간 구조와 사용자 조건,공간 비교도·환경 지표,medium
비주얼프로그래밍,1,기계전자(메카트로닉스),기계·모빌리티·건설,data_ai_software,데이터·AI·소프트웨어,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,"데이터 입력, 처리 기준, 결과와 오차를 분석",데이터 처리와 결과,데이터 표·그래프·오류 사례,medium
비타민,1,식품공학,생명·의료·생활,other,기타·직접검토,과학 | 사회 | 수학,실험실습형 | 자료해석형 | 조사탐구형,실험보고서 | 탐구보고서 | 자료분석지,실험분석형 | 자료해석형 | 연구보고서형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
비특이적 면역,1,생명과학,생명·의료·생활,bio_medical,생명·의료,과학 | 사회 | 수학,실험실습형 | 자료해석형 | 조사탐구형,실험보고서 | 탐구보고서 | 자료분석지,실험분석형 | 자료해석형 | 연구보고서형,"구조와 기능의 관계, 생명 기전, 건강·의료 적용을 분석",생명 기전과 적용,기전 흐름도·사례 자료,medium
비파괴,1,기계공학,기계·모빌리티·건설,design_manufacturing,설계·제작·공정,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,설계 조건과 공정 선택이 결과물의 성능과 효율에 미치는 영향 평가,설계 조건과 공정,설계 기준표·공정 비교,medium
비행,1,도시공학,기계·모빌리티·건설,other,기타·직접검토,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
비행 항법,1,항공학과,기계·모빌리티·건설,energy_mobility_space,에너지·모빌리티·우주,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,"에너지 전환, 효율, 시스템 안정성과 적용 조건을 비교",에너지 전환과 효율,효율·조건 비교 자료,medium
비행기 추진기구,1,항공학과,기계·모빌리티·건설,other,기타·직접검토,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
비행기의 역사,1,항공학과,기계·모빌리티·건설,other,기타·직접검토,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
비행제어시스템,1,항공학과,기계·모빌리티·건설,control_systems,제어·자동화·로봇,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,입력-판단-제어-피드백 구조와 조건별 반응 차이 분석,제어와 피드백,시스템 흐름도·조건별 반응,medium
빅데이터,4,산업공학 | 신소재공학 | 응용소프트웨어 | 지능형 데이터 최적학과,AI·SW·전자 | 기타 | 신소재·에너지·산업,data_ai_software,데이터·AI·소프트웨어,정보 | 수학 | 과학 | 사회 | 국어 | 영어,프로그래밍구현형 | 자료해석형 | 프로젝트형 | 보고서작성형 | 조사탐구형 | 비교분석형,프로그램 | 탐구보고서 | 발표자료 | 자료분석지 | 설계보고서,프로그래밍구현형 | 자료해석형 | 공학설계형 | 연구보고서형 | 개념해석형 | 원리적용형,"데이터 입력, 처리 기준, 결과와 오차를 분석",데이터 처리와 결과,데이터 표·그래프·오류 사례,high
빅데이터와 응급처치,1,응급구조학,기타,data_ai_software,데이터·AI·소프트웨어,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,"데이터 입력, 처리 기준, 결과와 오차를 분석",데이터 처리와 결과,데이터 표·그래프·오류 사례,medium
빅데이터와 통계,1,통계학과,기타,data_ai_software,데이터·AI·소프트웨어,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,"데이터 입력, 처리 기준, 결과와 오차를 분석",데이터 처리와 결과,데이터 표·그래프·오류 사례,medium
빅데이터와 통계학,1,수학과,기타,data_ai_software,데이터·AI·소프트웨어,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,"데이터 입력, 처리 기준, 결과와 오차를 분석",데이터 처리와 결과,데이터 표·그래프·오류 사례,medium
빅뱅,1,지구과학과,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
빈혈 검사,1,임상병리,기타,design_manufacturing,설계·제작·공정,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,설계 조건과 공정 선택이 결과물의 성능과 효율에 미치는 영향 평가,설계 조건과 공정,설계 기준표·공정 비교,medium
빌딩,1,건축학과,기계·모빌리티·건설,other,기타·직접검토,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
빌딩자동화,1,기계전자(메카트로닉스),기계·모빌리티·건설,control_systems,제어·자동화·로봇,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,입력-판단-제어-피드백 구조와 조건별 반응 차이 분석,제어와 피드백,시스템 흐름도·조건별 반응,medium
빗물과 침투,1,토목공학,기계·모빌리티·건설,other,기타·직접검토,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
빛과 공간,1,건축학과,기계·모빌리티·건설,space_architecture_landscape,공간·건축·도시·조경,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,공간 구조와 사용자·환경 조건이 기능과 경험에 미치는 영향 평가,공간 구조와 사용자 조건,공간 비교도·환경 지표,medium
빛환경,1,건축설비,기계·모빌리티·건설,safety_environment,안전·환경·지속가능,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,위험·환경 지표를 기준으로 원인과 개선 효과를 검증,안전성과 지속가능성,위험도·환경성 지표,medium
빵,1,식품공학,생명·의료·생활,other,기타·직접검토,과학 | 사회 | 수학,실험실습형 | 자료해석형 | 조사탐구형,실험보고서 | 탐구보고서 | 자료분석지,실험분석형 | 자료해석형 | 연구보고서형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
뼈엉성증,1,물리치료,생명·의료·생활,other,기타·직접검토,과학 | 사회 | 수학,실험실습형 | 자료해석형 | 조사탐구형,실험보고서 | 탐구보고서 | 자료분석지,실험분석형 | 자료해석형 | 연구보고서형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
뼈육종,1,물리치료,생명·의료·생활,other,기타·직접검토,과학 | 사회 | 수학,실험실습형 | 자료해석형 | 조사탐구형,실험보고서 | 탐구보고서 | 자료분석지,실험분석형 | 자료해석형 | 연구보고서형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
뿌리,1,산림원예,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
뿌리 염색,1,뷰티아트,생명·의료·생활,other,기타·직접검토,과학 | 사회 | 수학,실험실습형 | 자료해석형 | 조사탐구형,실험보고서 | 탐구보고서 | 자료분석지,실험분석형 | 자료해석형 | 연구보고서형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
뿌리채소,1,농업학과,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
사다리차,1,응급구조학,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
사료작물,1,농업학과,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
사막화,1,산림원예,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
사물인터네,1,전기공학,AI·SW·전자,other,기타·직접검토,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
사물인터넷,1,컴퓨터 공학,AI·SW·전자,data_ai_software,데이터·AI·소프트웨어,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,"데이터 입력, 처리 기준, 결과와 오차를 분석",데이터 처리와 결과,데이터 표·그래프·오류 사례,medium
사사태,1,산림원예,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
사용자를 고려한 건축,1,건축학과,기계·모빌리티·건설,human_society_policy,사회·정책·사용자,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,"이해관계, 영향, 판단 기준과 제도적 해결 방안을 분석",사회적 영향과 정책 기준,사례·통계·정책 비교,medium
사이버 물리 시스템,1,기계전자(메카트로닉스),기계·모빌리티·건설,other,기타·직접검토,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
사이버물리,1,컴퓨터 공학,AI·SW·전자,other,기타·직접검토,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
사이버물리시스템,1,기계공학,기계·모빌리티·건설,other,기타·직접검토,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
사이키델릭 아트,1,뷰티아트,생명·의료·생활,other,기타·직접검토,과학 | 사회 | 수학,실험실습형 | 자료해석형 | 조사탐구형,실험보고서 | 탐구보고서 | 자료분석지,실험분석형 | 자료해석형 | 연구보고서형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
사인법칙,1,수학과,기타,core_principles,원리·구조,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 원리와 구조가 조건에 따라 어떻게 달라지는지 분석,원리와 구조,개념 비교표와 조건별 차이,medium
